"SampleID"	"Name"	"Plant_ID"	"Type"	"Experiment"	"Cohort"	"Harvested"	"Age"	"Site"	"Treatment"	"Line"	"Genotype"	"Block"	"oldPlate"	"newPlate"	"Analysis"
"M1978P366"	"M1978P366"	"8_0891.leaf"	"8_0891"	"leaf"	"ecotypes"	"2008"	2012	4	"Sil"	"field"	"SILLow.3"	"SIL"	"8_19"	"p203"	"M1978"	"Ecotypes"
"M1980P537"	"M1980P537"	"8_0891.root"	"8_0891"	"root"	"ecotypes"	"2008"	2012	4	"Sil"	"field"	"SILLow.3"	"SIL"	"8_19"	"p205"	"M1980"	"Ecotypes"
"M1959P1106"	"M1959P1106"	"8_0898.leaf"	"8_0898"	"leaf"	"ecotypes"	"2008"	2011	3	"Sil"	"field"	"SILLow.2"	"SIL"	"8_19"	"p212"	"M1959"	"Ecotypes"
"M1554P184"	"M1554P184"	"8_0898.root"	"8_0898 "	"root"	"ecotypes"	"2008"	2011	3	"Sil"	"field"	"SILLow.2"	"SIL"	"8_19"	"p201"	"M1554"	"Ecotypes"
"M1979P393"	"M1979P393"	"8_1067.leaf"	"8_1067"	"leaf"	"ecotypes"	"2008"	2012	4	"Sil"	"field"	"SILLow.3"	"SIL"	"8_23"	"p204"	"M1979"	"Ecotypes"
"M1979P452"	"M1979P452"	"8_1067.root"	"8_1067"	"root"	"ecotypes"	"2008"	2012	4	"Sil"	"field"	"SILLow.3"	"SIL"	"8_23"	"p204"	"M1979"	"Ecotypes"
"M1961P1369"	"M1961P1369"	"8_1071.leaf"	"8_1071"	"leaf"	"ecotypes"	"2008"	2011	3	"Sil"	"field"	"SILupper.2"	"SIL"	"8_23"	"p214"	"M1961"	"Ecotypes"
"M1555P232"	"M1555P232"	"8_1071.root"	"8_1071 "	"root"	"ecotypes"	"2008"	2011	3	"Sil"	"field"	"SILupper.2"	"SIL"	"8_23"	"p202"	"M1555"	"Ecotypes"
"M1957P1002"	"M1957P1002"	"8_1204.leaf"	"8_1204"	"leaf"	"ecotypes"	"2008"	2011	3	"Sil"	"field"	"SILLow.8"	"SIL"	"8_26"	"p210"	"M1957"	"Ecotypes"
"M1554P175"	"M1554P175"	"8_1204.root"	"8_1204 "	"root"	"ecotypes"	"2008"	2011	3	"Sil"	"field"	"SILLow.8"	"SIL"	"8_26"	"p201"	"M1554"	"Ecotypes"
"M1979P402"	"M1979P402"	"8_1216.leaf"	"8_1216"	"leaf"	"ecotypes"	"2008"	2012	4	"Sil"	"field"	"SILLow.3"	"SIL"	"8_26"	"p204"	"M1979"	"Ecotypes"
"M1956P871"	"M1956P871"	"8_1216.root"	"8_1216"	"root"	"ecotypes"	"2008"	2012	4	"Sil"	"field"	"SILLow.3"	"SIL"	"8_26"	"p209"	"M1956"	"Ecotypes"
