Plant_ID	Experiment	Line	Site	Block	Cohort
8_0094	ecotypes	PAR.13.A	Mah	8_2	2008
8_0095	ecotypes	JAM.26.A	Mah	8_2	2008
8_0096	ecotypes	PAR.9.A1	Mah	8_2	2008
8_0097	ecotypes	MIL.53.A	Mil	8_3	2008
8_0098	ecotypes	MAH.8.A1	Mil	8_3	2008
8_0099	ecotypes	JAM.40.A	Mil	8_3	2008
8_0100	ecotypes	PAR.9.A1	Mil	8_3	2008
8_0101	ecotypes	MIL.60.A	Mil	8_3	2008
8_0102	ecotypes	MIL.50.A	Mil	8_3	2008
8_0103	ecotypes	JAM.16.A	Mil	8_3	2008
8_0104	ecotypes	MIL.68.B	Mil	8_3	2008
8_0105	ecotypes	MAH.9.B	Mil	8_3	2008
8_0106	ecotypes	JAM.17.A	Mil	8_3	2008
8_0107	ecotypes	JAM.15.A	Mil	8_3	2008
8_0108	ecotypes	MAH.37.A	Mil	8_3	2008
8_0109	ecotypes	JAM.1.A	Mil	8_3	2008
8_0110	ecotypes	MAH.38.B	Mil	8_3	2008
8_0111	ecotypes	JAM.19.B	Mil	8_3	2008
8_0112	ecotypes	PAR.17.A1	Mil	8_3	2008
8_0113	ecotypes	MIL.32.A1	Mil	8_3	2008
8_0114	ecotypes	MIL.21.B2	Mil	8_3	2008
8_0115	ecotypes	MAH.48.A	Mil	8_3	2008
8_0116	ecotypes	PAR.29.B2	Mil	8_3	2008
8_0117	ecotypes	PAR.8.B1	Mil	8_3	2008
8_0118	ecotypes	MIL.24.A	Mil	8_3	2008
8_0119	ecotypes	SILLow.1	Mil	8_3	2008
8_0120	ecotypes	MIL.54.A	Mil	8_3	2008
8_0121	ecotypes	JAM.7.B	Mil	8_3	2008
8_0122	ecotypes	SILLow.7	Mil	8_3	2008
8_0123	ecotypes	MAH.11.A	Mil	8_3	2008
8_0124	ecotypes	SILLow.6	Mil	8_3	2008
8_0125	ecotypes	PAR.10.A6	Mil	8_3	2008
8_0126	ecotypes	MAH.46.A	Mil	8_3	2008
8_0127	ecotypes	JAM.6.A	Mil	8_3	2008
8_0128	ecotypes	PAR.13.A	Mil	8_3	2008
8_0129	ecotypes	SILLow.3	Mil	8_3	2008
8_0130	ecotypes	PAR.7.B1	Mil	8_3	2008
8_0131	ecotypes	SILLow.8	Mil	8_3	2008
8_0132	ecotypes	SILLow.2	Mil	8_3	2008
8_0133	ecotypes	SILLow.5	Mil	8_3	2008
8_0134	ecotypes	JAM.26.A	Mil	8_3	2008
8_0135	ecotypes	PAR.22.A2	Mil	8_3	2008
8_0136	ecotypes	SILupper.2	Mil	8_3	2008
8_0137	ecotypes	PAR.19.B	Mil	8_3	2008
8_0138	ecotypes	MAH.5.A	Mil	8_3	2008
8_0139	ecotypes	MIL.20.B	Mil	8_3	2008
8_0140	ecotypes	MIL.70.A	Mil	8_3	2008
8_0141	ecotypes	MAH.13.A	Mil	8_3	2008
8_0142	ecotypes	MAH.16.A	Mil	8_3	2008
8_0143	ecotypes	JAM.22.A	Mil	8_3	2008
8_0144	ecotypes	PAR.21.B2	Mil	8_3	2008
8_0145	ecotypes	SILLow.1	Jam	8_4	2008
8_0146	ecotypes	SILLow.2	Jam	8_4	2008
8_0147	ecotypes	JAM.7.B	Jam	8_4	2008
8_0148	ecotypes	MIL.60.A	Jam	8_4	2008
8_0149	ecotypes	SILLow.7	Jam	8_4	2008
8_0150	ecotypes	MAH.11.A	Jam	8_4	2008
8_0151	ecotypes	MAH.5.A	Jam	8_4	2008
8_0152	ecotypes	PAR.29.B2	Jam	8_4	2008
8_0153	ecotypes	SILLow.6	Jam	8_4	2008
8_0154	ecotypes	JAM.22.A	Jam	8_4	2008
8_0155	ecotypes	MAH.16.A	Jam	8_4	2008
8_0156	ecotypes	SILLow.5	Jam	8_4	2008
8_0157	ecotypes	MIL.54.A	Jam	8_4	2008
8_0158	ecotypes	JAM.6.A	Jam	8_4	2008
8_0159	ecotypes	PAR.10.A6	Jam	8_4	2008
8_0160	ecotypes	PAR.9.A1	Jam	8_4	2008
8_0161	ecotypes	SILLow.8	Jam	8_4	2008
8_0162	ecotypes	MAH.8.A1	Jam	8_4	2008
8_0163	ecotypes	MAH.9.B	Jam	8_4	2008
8_0164	ecotypes	MAH.13.A	Jam	8_4	2008
8_0165	ecotypes	PAR.13.A	Jam	8_4	2008
8_0166	ecotypes	PAR.22.A2	Jam	8_4	2008
8_0167	ecotypes	PAR.17.A1	Jam	8_4	2008
8_0168	ecotypes	PAR.8.B1	Jam	8_4	2008
8_0169	ecotypes	PAR.21.B2	Jam	8_4	2008
8_0170	ecotypes	MIL.24.A	Jam	8_4	2008
8_0171	ecotypes	SILLow.3	Jam	8_4	2008
8_0172	ecotypes	MIL.20.B	Jam	8_4	2008
8_0173	ecotypes	MIL.53.A	Jam	8_4	2008
8_0174	ecotypes	MAH.37.A	Jam	8_4	2008
8_0175	ecotypes	JAM.16.A	Jam	8_4	2008
8_0176	ecotypes	JAM.19.B	Jam	8_4	2008
8_0177	ecotypes	MAH.46.A	Jam	8_4	2008
8_0178	ecotypes	MIL.50.A	Jam	8_4	2008
