OTU_ID	Copynumber
OTU_2469	7.00000220470665
OTU_1728	6.99914373694972
OTU_979	3.06915527054383
OTU_48	3.19023562546609
OTU_1808	3.4617226110806
OTU_2032	3.47790568749233
OTU_1845	3.28589065921923
OTU_2588	3.61228750887438
OTU_4843	3.63603601892837
OTU_4166	3.65913729742922
OTU_4538	3.76454232685743
OTU_19	5.99898065424969
OTU_824	5.99898065424969
OTU_9	5.99898065424969
OTU_127	4.72125836810717
OTU_129	4.32247776257181
OTU_476	4.3509300349735
OTU_3476	3.27874375539596
OTU_928	3.16967120514326
OTU_627	3.18367039761295
OTU_1276	3.2157124020291
OTU_484	3.33313757460842
OTU_4450	2.74856236098996
OTU_59	2.37881599882629
OTU_4238	2.00133391383339
OTU_281	2.00133391383339
OTU_1570	2.2791202462602
OTU_2450	2.48527974570956
OTU_2977	3.46215578807406
OTU_676	2.66477877878255
OTU_1365	2.36345576694948
OTU_321	2.39040790516439
OTU_445	2.39663773528291
OTU_510	2.43457500633409
OTU_1039	2.43955364157927
OTU_431	2.4674797554844
OTU_533	2.47331119315676
OTU_77	2.47537316296367
OTU_1316	2.47577309742873
OTU_1249	2.48317724685701
OTU_228	2.49717007465016
OTU_3975	2.50309473828579
OTU_1184	2.52973671064749
OTU_372	2.53415697359567
OTU_1599	2.53426250415675
OTU_76	2.55974413085856
OTU_1679	2.5607795947061
OTU_1027	2.56168340710211
OTU_4472	2.56284558859635
OTU_3215	2.56365485142529
OTU_1123	2.56383842748455
OTU_3294	2.56836642276569
OTU_283	2.5815412388318
OTU_643	2.58660224075223
OTU_2157	2.60661213857538
OTU_784	2.61794370318905
OTU_2170	2.62135599063087
OTU_1933	2.63466050347667
OTU_654	2.65553590704508
OTU_1565	2.65941231226163
OTU_1109	2.66308595613035
OTU_1776	2.66968139593871
OTU_588	2.66986220472355
OTU_1891	2.68305156813778
OTU_4276	2.73583754279269
OTU_3902	2.73814237135626
OTU_538	2.73859449064218
OTU_1825	2.74789971210936
OTU_3387	2.76376181266778
OTU_2275	2.76788780939957
OTU_3685	2.78677198834919
OTU_3780	2.79115655907144
OTU_3631	2.79783645545576
OTU_3830	2.79813936279694
OTU_1551	2.80629948258592
OTU_3487	2.84769140049794
OTU_4535	2.86157256202738
OTU_553	1.89928044553149
OTU_2131	1.37542356069795
OTU_125	1.66568003838777
OTU_29	2.04308041495814
OTU_485	3.13874555717785
OTU_4545	3.89343282257758
OTU_810	5.99883794753879
OTU_1847	3.49527962741973
OTU_435	3.00108329135493
OTU_99	3.00108329135493
OTU_427	3.99964931046066
OTU_36	3.69680031962668
OTU_31	3.45905219952684
OTU_14	3.397115527736
OTU_1939	2.62686506258357
OTU_1204	2.99738073084804
OTU_4173	1.26953027986706
OTU_2801	1.28128680949068
OTU_291	1.39255573800684
OTU_873	1.39271683256089
OTU_4001	1.40741400031433
OTU_297	1.42893925980942
OTU_3367	1.43236170517803
OTU_3625	1.43422658088457
OTU_4801	1.0002040135256
OTU_419	1.0002040135256
OTU_1366	1.0002040135256
OTU_1194	1.0002040135256
OTU_3504	1.0002040135256
OTU_840	1.0002040135256
OTU_370	1.0002040135256
OTU_661	1.0002040135256
OTU_1200	1.0002040135256
OTU_899	1.0002040135256
OTU_1212	1.0002040135256
OTU_4960	1.0002040135256
OTU_954	1.0002040135256
OTU_1330	1.83543429544484
OTU_700	1.83543429544484
OTU_2641	1.83543429544484
OTU_1165	1.83543429544484
